	/WW01-SC2-SB-251026-BC-M08760-251105
summarized	[('XFG* (XFG.X)', 0.9935718542940144)]
lineages	XFG.3.30 XFG.3.3 XFG.5.4 XFG.9.2 XFG.10.2 XFG.5 XFG.9 XFG.10 XFG.12 XFG.3 XFG.3.16
abundances	0.49008171 0.09774430 0.05295696 0.05295696 0.05295696 0.05295696 0.05295696 0.05295696 0.05295696 0.03231733 0.00272976
resid	8.871687315158237
coverage	76.3234458081129
