	/WV01-SC2-PL-250928-LB-M08760-251009
summarized	[('Other', 0.9886952830326199)]
lineages	B.1.1.519 C.16
abundances	0.49434764 0.49434764
resid	0.13625353217599753
coverage	6.7652075042637865
