	/WW03-EN-25-10-31_SC2-NR
summarized	[('XFG* (XFG.X)', 0.9934599798319582)]
lineages	XFG.4 XFG.3 XFG.14 XFG.14.1.2
abundances	0.64263453 0.25322140 0.06131186 0.03629219
resid	13.85955974539501
coverage	89.18503160218039
