	/WW02-PL-25-11-16-SC2
summarized	[('XFG* (XFG.X)', 0.9963173675033334)]
lineages	XFG.3-like XFG.6-like XFG.14.1-like XFG.23 XFG.29
abundances	0.59390314 0.39295936 0.00692809 0.00126582 0.00126095
resid	6.7131589814541055
coverage	67.37116677256462
