	/WW01-PL-25-11-12_SC2-NR
summarized	[('XFG* (XFG.X)', 0.990864534788059)]
lineages	XFG.2.2 XFG.2.4 XFG.18 XFG.21 XFG.1 XFG.17 XFG.19 XFG.36 XFG.30 XFG.34 XFG.6 XFG.28 XFG.22 XFG.11 XFG.7 XFG.9 XFG.5 XFG.9.2 XFG.9.5 XFG.9.4 XFG.5.4 XFG.5.2 XFG.7.1 XFG.9.6 XFG.9.4.2 XFG.5.4.1 XFG.5.3 XFG.5.1 XFG.5.2.4 XFG.5.1.4 XFG.2 XFG XFG.17.4
abundances	0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.03085088 0.00363636
resid	4.61499607492483
coverage	29.201083503327425
