	/WW01-SC2-26-017471-EN-26-02-10-RS-SH01109-260304
summarized	[('XFG* (XFG.X)', 0.6181696961348775), ('Other', 0.270593550500819), ('BA.2.86* (BA.2.86.X)', 0.1080794052993433)]
lineages	XFG.23 XFG.14.1.4 NT.1 NB.1.4 NB.1.6.1 NB.1.6 XGT XFG.3.30 XFG.3.23 XFG.3.12 XFG.3.27 XFG.28 XFG.3.4.9 XFG.3.4.2 XFG.3.4 XGA.1 XFG.19
abundances	0.35353499 0.11606099 0.10807941 0.08466882 0.06122206 0.06122206 0.06086622 0.02456440 0.02456440 0.02456440 0.02456440 0.01983470 0.00975248 0.00975248 0.00975248 0.00261438 0.00122399
resid	8.378506049642233
coverage	57.218339297060496
