	/WW01-SC2-26-015759-SB-26-02-01-not-clean-Uni-RS-SH01109-260226
summarized	[('XFG* (XFG.X)', 0.9793529418158002), ('Other', 0.01231431663857341)]
lineages	XFG.2.5.1 XFG.3.26 XFG XFG.3.16 QK.2 XFG.14.1 XGE XFG.14 XFG.23.1
abundances	0.43478300 0.21881129 0.16778871 0.06333870 0.04761900 0.04094778 0.01231432 0.00469382 0.00137065
resid	8.647290544080683
coverage	91.5760960438752
