	/WW01-SC2-26-015757-SB-26-01-27-not-clean-Uni-RS-SH01109-260226
summarized	[('XFG* (XFG.X)', 0.7228629130886384), ('Other', 0.23442099712318354), ('Omicron', 0.04170047075047892)]
lineages	QF.2.4 XFG.3.26 XFG.14.1.4 XFZ.2 XFZ XER XFG.6.2 XFG.14.1.2 XFG.22.2 XFG.3.9
abundances	0.36666699 0.16353279 0.15463900 0.11764700 0.11677400 0.04170047 0.02082799 0.01448396 0.00166944 0.00104275
resid	6.673154002471226
coverage	62.32150620339097
