	/WW01-SC2-SB-25-12-21-NR-SH01109-260102
summarized	[('XFG* (XFG.X)', 0.9929195615112225)]
lineages	QK.2
abundances	0.99291956
resid	3.3519381285060104
coverage	11.477109320135103
