	/WW01-SC2-PL-25-12-24-BC-SH01109-260112
summarized	[('Other', 0.7880492778580911), ('XFG* (XFG.X)', 0.20549620595648443)]
lineages	XFQ XFV XFV.6 XFV.5 XFG.10 XFG.21 XFG.3 XFG.3.8 XFG.12 XFG.34 XFG.28 XFG.22 XFG.7 XFG.9 XFG.9.2 XFG.3.22 XFG.9.5 XFG.9.3 XFG.10.1 XFG.10.2 XFG.39 XFG.9.1 XFG.9.6 XFG XFG.7.1
abundances	0.41027710 0.12592406 0.12592406 0.12592406 0.00986738 0.00986738 0.00986738 0.00986738 0.00986738 0.00986738 0.00986738 0.00986738 0.00986738 0.00986738 0.00986738 0.00986738 0.00986738 0.00986738 0.00986738 0.00986738 0.00986738 0.00986738 0.00986738 0.00986738 0.00814861
resid	6.707605961366357
coverage	49.6271277129385
