	/WW01-EN-25-11-14_SC2-NR
summarized	[('XFG* (XFG.X)', 0.5078343951390133), ('BA.2.86* (BA.2.86.X)', 0.4857886751501549)]
lineages	XFG.5.3 LF.7.1.6 LF.7.9.5 LF.7.3.4 PC.4.1 NT.5 LF.7.9 LF.7.3.1 PC.4 PC.3 PC.2 LF.7.1.10 LF.7.12 PC.2.3 LF.7.4 LF.7.10 LF.7.2.1 LF.7.1.9 LF.7.1.14 LF.7.1.2 LF.7.3 LF.7.5 LF.7.2 LF.7.1 PL.1 PL.4 LF.7 LF.7.10.1 LF.7.1.8 NT.1 XFG.10 XFG.9.4.2 XFG.9.6 XFG.9.4 XFG.9.3 XFG.9.5 XFG.9.2 XFG.10.4 XFG.31 XFG.9 XFG.11 XFG.22 XFG XFG.34 XFG.29 XFG.3.20 XFG.3.8 XFG.19 XFG.16 XFG.3 XFG.1 XFG.21 XFG.23 XFG.33 XFG.9.4.1 XFG.6 PC.4.1.1
abundances	0.43483700 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01738014 0.01499977 0.01499977 0.00288154 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00280759 0.00102407
resid	6.563658088900094
coverage	41.698157375514164
