	/WW03-EN-25-10-30_SC2-NR
summarized	[('XFG* (XFG.X)', 0.993109232545035)]
lineages	XFG-like XFG XFG.3-like XFG.14.6 XFG.1 XFG.3.20
abundances	0.45773630 0.28114718 0.22817902 0.02138764 0.00289560 0.00176350
resid	10.799273017669378
coverage	80.57385546600676
