	/WW01-EN-25-10-31_SC2-NR
summarized	[('XFG* (XFG.X)', 0.9952178538111084)]
lineages	XFG-like XFG.1.1
abundances	0.84968485 0.14553300
resid	10.852115475945439
coverage	74.64468447981808
