	/WW01-SC2-EN-25-12-17-NR-SH01109-260102
summarized	[('XFG* (XFG.X)', 0.9978036770102008)]
lineages	XFG.14.1.6 XFG.14.1.4 XFG.14.1.1 XFG.10 XFG.10.1 XFG.10.4 XFG.1.2 XFG.17 XFG.1 XFG
abundances	0.17212804 0.17212804 0.17212804 0.15325658 0.15325658 0.15325658 0.00541245 0.00541245 0.00541245 0.00541245
resid	4.540020815718894
coverage	56.592983981540314
