	/WW01-SC2-26-018627-EN-26-02-26-RS-SH01109-260304
summarized	[('XFG* (XFG.X)', 0.5562306038266431), ('NB.1.8.1* (NB.1.8.1.X)', 0.35241658965082434), ('Other', 0.0687826163127575), ('BA.2.86* (BA.2.86.X)', 0.007748631397726113)]
lineages	XFG.1.1 PQ.2.5.3 XFG.22 PQ.2.7 XFG.14 XDD.1 QF.7 RC.2.1 PQ.41 QF.5.1 XFG.6.2 XDV.1 BA.2.86.6 BA.2.86 XFG.3.9 LF.7.1.5 XFG.3.16
abundances	0.24273957 0.14282884 0.14250714 0.12622567 0.08961959 0.06538954 0.04293760 0.04242639 0.04093570 0.01958604 0.01498599 0.00339307 0.00311212 0.00311212 0.00264550 0.00152439 0.00120919
resid	12.527522473483572
coverage	74.46744473798616
