	/WW01-SC2-EN-25-12-11-NR-SH01109-260102
summarized	[('BA.2.86* (BA.2.86.X)', 0.9559879319825504), ('XFG* (XFG.X)', 0.04327555040326082)]
lineages	JN.1.4.3 KQ.1 XFG.1.1 XFG.38
abundances	0.47799397 0.47799397 0.04190761 0.00136794
resid	8.83957150217599
coverage	46.28298164063806
