	/WW03-PL-25-10-27_SC2-NR
summarized	[('XFG* (XFG.X)', 0.8663023392089273), ('BA.2.86* (BA.2.86.X)', 0.11954853329928697)]
lineages	XFG-like XFG.6.1 LF.7-like XFG.3.27 XFG.1.1 XFG.3.3 XFG.3-like LF.7.6.5
abundances	0.53360459 0.17125401 0.11652744 0.10544199 0.02849519 0.01386625 0.01364032 0.00302109
resid	14.61390829828362
coverage	74.8052034912885
