	/WV01-SC2-SB-250925-LB-M08783-251003-M08783-251003
summarized	[('A', 0.9201798585384758), ('Delta', 0.06537079970888653)]
lineages	A.1 AY.9.2.2 AY.9.2 AY.26.1 AY.26
abundances	0.92017986 0.01724140 0.01724140 0.01544400 0.01544400
resid	0.24812398172944872
coverage	10.440424037721968
