	/WW01-SC2-PL-100825-SDC-M08760-251021
summarized	[('XFG* (XFG.X)', 0.9950116217465452)]
lineages	XFG.2 XFG XFG.6 XFG.3.27 XFG.2.2
abundances	0.52386559 0.18784303 0.14269213 0.13847866 0.00213222
resid	11.846618897920848
coverage	96.59900344447045
