	/WV01-SC2-PL-250924-LB-M08783-251003-M08783-251003
summarized	[('Other', 0.8055249845348627), ('Omicron', 0.0908811578160897), ('Delta', 0.03859336838765458), ('A', 0.03236863155093611), ('Alpha', 0.008714631571405876), ('Mu', 0.0024898947346873933), ('Lambda', 0.0024898947346873933), ('Kappa', 0.0012449473673436966), ('Theta', 0.0012449473673436966), ('Zeta', 0.0012449473673436966)]
lineages	B.1.573 P.6 XK B.1.1.83 B.1.1.306 B.1.1.331 B.1.1.187 B.1.1.500 B.1.1.376 B.1.1.398 B.1.1.10 B.1.1.127 B.1.1.117 B.1.1.515 B.1.1.57 B.1.1.462 B.1.1.129 B.1.1.99 B.1.1.185 B.1.1.174 B.1.1.402 B.1.1.463 B.1.1.169 B.1.1.438 B.1.1.440 B.1.1.33 B.1.1.171 B.1.1.485 B.1.417 B.1.469 B.1.463 B.1.530 A.4 A.19 A.2.4 B.1.236 B.1.551 B.1.242 B.1.408 B.1.1.125 B.1.1.194 B.1.1.87 B.1.1.101 B.1.533 B.1.1.89 B.1.1.107 B.1.1.231 B.1.1.61 B.1.1.208 B.1.1.378 B.1.1.168 B.1.1.26 B.1.475 B.1.1.71 B.1.1.142 B.1.1.320 B.1.1.112 B.1.1.92 B.1.1.197 B.1.1.95 B.1.443 B.1.441 B.1.478 B.1.279 B.1.476 B.1.159 B.1.281 B.1.276 B.1.158 B.1.482 B.1.468 B.1.471 B.1.467 B.1.523 B.1.1.189 B.1.1.205 B.1.1.192 B.1.1.43 B.1.1.12 B.1.1.148 B.1.1.118 B.1.1.367 B.1.1.59 B.1.173 B.1.1.198 B.1.1.164 B.1.1.122 B.1.1.447 B.1.1.34 B.1.1.372 B.1.1.253 B.1.1.180 B.1.1.274 B.1.1.166 B.1.1.254 B.1.1.277 B.1.1.28 B.1.1.135 B.1.36 B.1.480 B.1.470 B.1.1.350 B.1.1.263 B.1.1.359 B.1.1.177 B.1.1.111 B.1.1.395 B.1.1.449 B.1.1.362 B.1.1.109 B.1.1.380 B.1.1.325 B.1.1.58 B.1.1.152 B.1.1.357 B.1.1.266 B.1.1.132 B.1.560 B.1.1.452 B.1.1.141 B.1.1.396 B.1.1.315 B.1.1.218 B.1.1.391 B.1.1.401 B.1.9 B.1.1.442 B.1.1.181 B.1.1.283 B.1.1.48 B.1.1.210 B.1.1.282 B.1.1.162 B.1.1.285 B.1.1.113 B.1.1.114 B.1.1.213 B.1.1.72 B.1.1.435 B.1.1.516 B.1.1.364 B.1.1.441 B.1.1.88 B.1.1.312 B.1.1.203 B.1.1.461 B.1.1.84 B.1.1.407 B.1.1.387 B.1.1.67 B.1.1.27 B.1.1.299 B.1.1.304 B.1.1.45 B.1.1.63 B.1.1.458 B.1.1.323 B.1.1.257 B.1.1.17 B.1.1.480 B.1.1.119 B.1.1.265 B.1.1.163 B.1.1.518 B.1.1.110 B.1.1.220 B.1.1.317 B.1.1.222 B.1.1.5 B.1.1.75 B.1.1.3 B.1.1.158 B.1.1.404 B.1.1.424 B.1.1.130 B.1.1.382 B.1.1.157 B.1.1.301 B.1.1.514 B.1.1.300 B.1.1.356 B.1.1.309 B.1.1.308 B.1.1.37 B.1.1.329 B.1.1.328 B.1.1.41 B.1.1.160 B.1.1.115 B.1.1.56 B.1.1.421 B.1.1.191 B.1.1.270 B.1.1.82 B.1.1.55 B.1.1.15 B.1.1.261 B.1.459 B.1.458 B.1.1.482 A.11 B.1.222 B.1.153 B.1.91 B.1.199 B.1.378 B.1.105 B.1.555 B.1.134 B.1.195 B.1.78 B.1.145 B.1.142 B.1.540 B.1.383 B.1.395 B.1.201 B.1.81 B.1.8 B.1.215 B.1.76 B.1.67 B.1.545 A.22 B.1.84 A.18 B.1.151 B.1.208 B.1.212 B.1.6 B.1.213 B.1.147 B.1.529 B.1.178 B.1.83 B.1.211 B.1.387 B.1.220 B.1.137 B.1.203 B.1.535 B.1.103 B.4.8 B.6.6 B.6.8 B.58 A.1 B.1.139 B.4.2 B.6.2 B.6.5 B.45 B.4 B.42 B.44 B.46 B.11 B.57 B.56 B.26 B.1.14 B.12 B.50 B.47 B.6 B.5 B.19 B.23 B.55 B.27 B.20 B.15 B.3 B.51 B.13 B.32 B.6.1 B.38 B.35 B.39 B.60 A.16 B.1 B.4.6 B.36 B.40 A B.31 A.5 B.3.1 B.29 B.41 B.33 B.61 B.28 B.53 B.1.210 B.1.205 B.1.466 B.1.600 B.1.542 B.1.1 B.1.639 B.1.543 B.1.22 B.1.162 B.1.170 B.1.111 B.1.473 B.1.124 B.1.436 B.1.442 B.1.161 B.1.439 B.1.163 B.1.112 B.1.273 B.1.270 B.1.277 B.1.274 B.1.13 B.1.224 B.1.416 B.1.35 B.1.416.1 B.1.465 B.1.546 B.1.140 A.24 A.26 A.25 A.21 A.12 A.2 B.1.415 B.1.241 B.1.401 B.1.399 B.1.238 B.1.400 B.1.239 B.1.243 B.1.232 B.1.237 B.1.556 B.1.233 B.1.37 B.1.479 B.1.483 B.1.110.2 B.1.110 B.1.254 B.1.252 B.1.250 B.1.248 B.1.104 B.1.391 B.1.559 B.1.557 B.1.194 B.1.379 B.1.187 B.1.377 B.1.69 B.1.390 B.1.93 B.1.70 B.1.94 B.1.198 B.1.23 B.1.384 B.1.382 B.1.547 B.1.180 B.1.146 B.1.110.3 B.1.249 B.1.77 B.1.126 B.1.206 B.1.393 B.1.131 B.1.552 B.1.96 B.1.219 B.1.157 B.4.7 A.7 A.17 B.1.609 B.1.225 B.1.223 B.1.181 B.1.420 B.1.192 B.1.1.305 B.1.1.144 XAL B.1.160.24 B.1.160.11 B.1.160.29 B.1.160.7 B.1.160.31 B.1.160.22 B.1.160.8 B.1.160.30 B.1.160.28 B.1.160.17 B.1.160.32 B.1.617.1 B.1.621 C.37 B.1.617.3 P.3 R.2 B.1.221.2 A.2.5.2 A.2.5.3 B.1.1.433 AW.1 B.1.160.14 B.1.160.15 B.1.563 B.1.160.33 AY.57 AY.59 AY.71 AY.26 AY.28 AY.58 AY.75 AY.38 AY.9 AY.24 AY.61 AY.55 C.37.1 B.1.621.2 B.1.160.27 B.1.160.25 B.1.1.445 B.1.160.23 B.1.160.26 B.1.160.16 B.1.160.13 B.1.1.519 B.1.221.3 B.1.221.4 A.2.5.1 C.18 C.5 C.16 C.17 B.1.1.434 B.1.36.31 B.1.160 B.1.634 B.1.1.236 B.1.1.333 AM.3 B.1.1.272 B.1.1.44 B.1.1.353 B.1.1.406 C.7 C.28 C.20 C.2 AH.2 B.1.531 C.40 B.1.1.351 AM.2 B.1.1.420 B.1.617.2 B.1.1.525 P.2 R.1 B.1.36.27 A.23 B.1.617 B.1.1.343 AV.1 C.19 AM.4 C.30 C.31 K.3 B.1.1.338 B.1.1.336 B.1.36.2 A.2.5 B.1.1.429 AM.1 AY.65 AY.67 AY.66 Q.6 BA.1.1.5 BA.1.1.17 BA.1.15.1 BA.1.15.2 BD.1 Q.8 BA.1.1.4 BA.1.1.2 BA.1.1.9 BA.1.1.7 BA.1.1.10 BA.1.1.15 BA.1.1.8 BA.1.1.12 BA.1.1.11 BA.1.1.6 BA.1.1.13 BA.1.1.14 BA.1.8 BA.1.15 BA.1.13.1 BA.1.1.16 BC.1 BC.2 XR XAQ XM XV XJ XE XY XAF XL XAM XU BA.1.1.3 XQ XAB XAA XG XP BA.1.15.3 BA.1.16.1 Q.7 AY.133 BA.1.23 AY.24.1 AY.56 AY.68 BA.1.6 BA.1.4 BA.1.7 BA.1.10 Q.3 AY.64 BA.1 B.1.160.18 AY.10 AY.75.2 AY.74 AY.72 AY.9.2 Q.1 AY.37 AY.27 AY.70 AY.47 B.1.1.7 B.1.160.9 AB.1 BA.1.5 BA.1.21 BA.1.9 BA.1.3 BA.1.1.1 BA.1.2 BA.1.20 BA.1.22 BA.1.24 BA.1.17.2 BA.1.17.1 BA.1.14.2 BA.1.14.1 BA.1.21.1 BA.1.14 Q.5 AY.26.1 BA.1.1 BA.1.12 BA.1.19 BA.1.18 BA.1.17 BA.1.16 BA.1.13 AS.1 B.1.389 B.1.1.412 B.1.1.239 B.1.1.16 B.1.1.311 B.1.1.451 B.1.1.256 B.1.1.123 B.1.1.371 B.1.1.298 B.1.1.369 B.1.1.1 B.1.1.202 B.1.1.484 B.1.1.255 B.1.1.241 K.1 B.1.1.165 B.1.1.29 B.1.1.145 B.1.1.389 B.1.1.273 B.1.1.348 B.1.1.355 B.1.1.512 B.1.1.217 B.1.36.29 B.1.1.62 AE.1 AE.3 B.1.1.39 B.1.1.51 B.1.1.139 B.1.1.49 B.1.1.226 B.1.1.47 B.1.1.50 B.1.1.209 B.1.1.403 B.1.1.377 B.1.1.262 L.2 B.1.1.385 B.1.1.136 B.1.1.487 B.1.1.120 B.1.1.354 B.1.1.506 B.1.1.342 B.1.1.77 B.1.1.464 B.1.1.352 B.1.1.459 A.2.2 B.1.554 B.1.610 B.1.402 B.1.403 B.1.189 B.1.1.98 B.1.1.268 B.1.1.388 B.1.1.249 B.1.1.190 B.1.1.267 B.1.1.271 B.1.1.216 B.1.1.53 B.1.1.30 B.1.1.365 B.1.1.237 B.1.1.360 B.1.1.379 B.1.1.275 A.23.1 B.1.565 B.1.184 B.1.36.22 B.1.1.289 B.1.1.221 B.1.9.3 B.1.9.5 B.1.9.4 B.1.9.2 B.1.9.1 B.1.280 B.1.282 B.1.36.20 B.1.218 B.1.36.16 B.1.36.8 B.1.36.35 B.1.36.24 B.1.36.7 B.1.36.19 B.1.460 B.1.466.2 B.1.524 B.1.1.394 B.1.1.363 B.1.1.149 B.1.466.1 C.4 C.14 C.3 C.36 C.25 C.27 C.22 C.8 C.12 C.13 C.35 B.1.1.332 P.7 B.1.1.322 B.1.620 B.1.221 B.1.36.1 B.1.36.23 B.1.36.26 B.1.36.28 B.1.36.17 C.26 C.33 C.21 B.1.1.330 B.1.36.33 B.1.421 AL.1 N.7 N.5 B.1.1.425 B.1.1.529 B.1.1.405 B.1.1.446 B.1.1.193 C.11 B.1.1.229 B.1.1.207 B.1.532 B.1.1.302 B.1.1.227 B.1.1.153 C.6 C.32 C.29 B.1.36.37 B.1.404 N.4 B.1.1.397 B.1.1.413 B.1.1.349 B.1.1.414 B.1.1.316 B.1.1.517 B.1.1.291 B.1.36.12 B.1.36.38 B.1.633 B.1.618 A.2.3 B.1.602 B.1.188 B.1.1.368 B.1.1.400 B.1.1.481 B.1.1.269 B.1.1.466 B.1.1.465 B.1.1.366 N.3 B.1.1.384 B.1.1.138 K.2 B.1.1.176 B.1.1.93 N.1 N.8 AE.4 B.1.548 AE.6 B.1.1.428 B.1.1.214 B.1.1.374 B.1.1.422 B.1.1.427 B.1.1.228 B.1.1.90 B.1.1.182 B.1.1.225 B.1.1.70 B.1.1.296 B.1.1.161 B.1.1.450 B.1.1.344 B
abundances	0.00224514 0.00153374 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495 0.00124495
resid	0.03960153475217266
coverage	7.343744774771762
