	/WW01-EN-25-11-19-SC2
summarized	[('XFG* (XFG.X)', 0.6139014988655727), ('NB.1.8.1* (NB.1.8.1.X)', 0.36037677102661214), ('BA.2.86* (BA.2.86.X)', 0.02312813481013224)]
lineages	XFG.14.2 NB.1.8.1-like(1) XFG-like XFG.4.5 NB.1.8.1-like NS.3 NS.2
abundances	0.36643404 0.27056187 0.15069326 0.09677420 0.08981490 0.02156074 0.00156739
resid	9.942307944825014
coverage	60.14112296425108
