	/WW01-SC2-26-017985-EN-26-02-18-not-clean-Uni-RS-SH01109-260226
summarized	[('XFG* (XFG.X)', 0.8004856557411607), ('Other', 0.10638297470920662), ('NB.1.8.1* (NB.1.8.1.X)', 0.09060979564364383)]
lineages	XFG.1.1 XFG.4.1.5 XFQ XFG.4.1.1 PQ.2.8 XFG.5.1.7 XFG.14.1.4 PQ.34.1 XFG.10.2 PQ.17.10.1
abundances	0.33318700 0.21221199 0.10638297 0.10080596 0.08551098 0.07911361 0.07355680 0.00381677 0.00161030 0.00128205
resid	10.930393454233316
coverage	71.28047353108384
