	/WW01-EN-25-11-24-SC2
summarized	[('XFG* (XFG.X)', 0.6316979733854908), ('Omicron', 0.36413326406598856), ('XEC* (XEC.X)', 0.002298811198572715)]
lineages	XFG.9.6 XER XFG.1.3 XEC.1
abundances	0.39590698 0.36413326 0.23579099 0.00229881
resid	9.890971930531386
coverage	59.726448851285824
