	/WW01-SC2-EN-25-12-27-BC-SH01109-260112
summarized	[('XFG* (XFG.X)', 0.9915399954721709)]
lineages	XFG.37 XFG.3.20 XFG.3 XFG.1 XFG
abundances	0.19830800 0.19830800 0.19830800 0.19830800 0.19830800
resid	12.243523226339809
coverage	66.31107246764539
