	/WV01-SC2-EN-251002-LB-M08760-251009
summarized	[('XFG* (XFG.X)', 0.9751383293424799), ('BA.2.86* (BA.2.86.X)', 0.0199007822314792)]
lineages	QT.1.1 XFG.3.20 XFG.3.18 XFG.3.6 XFG.3.9 XFG.3.14 XFG.3.24 XFG.3.7 XFG.3.11 XFG.3.10 XFG.3.3 XFG.3.13 XFG.3.8 QT.1.2 XFG.3.21 XFG.3.17 XFG.3.19 XFG.18.1 XFG.16 XFG.17 XFG.3 XFG.1 XFG.18 XFG XFG.3.15 XFG.3.22 XFG.17.3 XFG.14 QS.1 QS.2 XFG.3.4.4 XFG.14.4 XFG.14.2.1 XFG.3.4.5 QT.3 QT.2 QT.1 XFG.3.4.3 XFG.3.4.1 XFG.14.2 XFG.17.2 XFG.3.4.2 XFG.3.4.9 XFG.3.4.6 XFG.3.18.1 XFG.3.16.1 XFG.3.4 XFG.3.16 XFG.3.3.1 NT.1
abundances	0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078 0.01990078
resid	3.6390561683484117
coverage	15.302812426846804
