	/WW02-SC2-EN-25-11-17-NR-M08783-251124
summarized	[('XFG* (XFG.X)', 0.9959846988888539)]
lineages	XFG.14 XFG.14.2
abundances	0.49799235 0.49799235
resid	7.181611929743718
coverage	30.495268033307696
