	/WW01-EN-25-12-01-SC2
summarized	[('XFG* (XFG.X)', 0.8718761116226846), ('Omicron', 0.11706981994601105), ('BA.2.86* (BA.2.86.X)', 0.005780352624702951), ('Other', 0.0011494331573107168)]
lineages	XFG-like XFG.3.26 XFG.9.6 XFC-like LF.7.9.5 XDV.1.4
abundances	0.31648784 0.28786397 0.26752431 0.11706982 0.00578035 0.00114943
resid	9.665806309753204
coverage	78.14934956358894
