	/WW01-EN-25-11-12_SC2-NR
summarized	[('XFG* (XFG.X)', 0.988612240819569)]
lineages	XFG.5.1.3 XFG.5.1 XFG.5.1.4 XFG.5.1.5 XFG.5.1.2 XFG.5.1.6
abundances	0.25470137 0.14678217 0.14678217 0.14678217 0.14678217 0.14678217
resid	5.749056022186152
coverage	25.980670835702103
