	/WW01-SC2-EN-251013-BC-M08760-251105
summarized	[('XFG* (XFG.X)', 0.6215562944955296), ('Other', 0.3739503776448051)]
lineages	XFV XFV.2 XFG.9.4.2 XFG.9.5 XFG.9.2 XFG.9.4 XFG.9 XFG.34 XFG.12 XFG.21 XFG XFG.4.4 XFG.3.24
abundances	0.18697519 0.18697519 0.06879895 0.06879895 0.06879895 0.06879895 0.06879895 0.06879895 0.06879895 0.06879895 0.06879895 0.00122548 0.00114024
resid	9.233244810244127
coverage	64.96672574658061
