	/WW01-SC2-26-017472-EN-26-02-11-RS-SH01109-260304
summarized	[('XFG* (XFG.X)', 0.5854333142063024), ('Other', 0.3517678361162746), ('BA.2.86* (BA.2.86.X)', 0.06250001005426208)]
lineages	QS.2 XGT XFG.3.26 XGE XFG.5.3 XFG.10.2 XFG.1.1.1 JN.11 QT.3 NB.1.7 XDV.1.5.1 XDV.1.5 XFG.3.5 XFZ XFG.3.4.7
abundances	0.18181800 0.16666672 0.10629370 0.09999999 0.08969247 0.07923996 0.07883620 0.06250001 0.04586038 0.04166628 0.02875622 0.01291080 0.00245499 0.00176783 0.00123762
resid	10.81932022343161
coverage	63.04718590108016
