	/WW03-SC2-EN-25-11-17-NR-M08783-251124
summarized	[('BA.2.86* (BA.2.86.X)', 0.8954040125923959), ('Other', 0.09948933473248843)]
lineages	XGA PW.1 QR.2 PV.1 PV.3.1 LF.7.10.1 PV.3 LF.7.6.4 LF.7.6.5 LF.7.7.1
abundances	0.09948933 0.09948933 0.09948933 0.09948933 0.09948933 0.09948933 0.09948933 0.09948933 0.09948933 0.09948933
resid	2.353643841073989
coverage	15.466675584389526
