	/WW01-PL-25-11-19-SC2
summarized	[('XFG* (XFG.X)', 0.9999996234271152)]
lineages	XFG.10 XFG.23 XFG-like XFG.3.4.3 XFG.3.4.8 XFG.3.8
abundances	0.63860898 0.19834200 0.09590726 0.06329109 0.00201207 0.00183823
resid	11.211294448758743
coverage	78.91850316021804
