	/WW03-EN-25-10-27_SC2-NR
summarized	[('XFG* (XFG.X)', 0.590143953930178), ('XEC* (XEC.X)', 0.4058776836143558)]
lineages	XFG.15 XEC.2.3-like
abundances	0.59014395 0.40587768
resid	11.468799315288924
coverage	44.06246864863057
