	/WW01-PL-25-12-02-SC2
summarized	[('BA.2.86* (BA.2.86.X)', 0.6283236713720802), ('Other', 0.36327089751855995), ('Omicron', 0.0065541639790144615)]
lineages	LF.7-like XDR NL.4-like XFP.2 XFU LF.7.2-like LB.1.9 ND.1.1.1
abundances	0.61172609 0.36327090 0.01219510 0.00389105 0.00266312 0.00149699 0.00147493 0.00143056
resid	6.809419642642224
coverage	31.996789619770592
