	/WW01-EN-25-11-10_SC2-NR
summarized	[('Delta', 0.9984823196572944)]
lineages	AY.34.2 AY.32 AY.84 AY.20 AY.77 AY.90 AY.78 AY.25 AY.117 AY.124 AY.113 AY.104 AY.33 AY.114 AY.107 AY.125 AY.46.1 AY.46.4 AY.46.6 AY.4.3 AY.129 AY.86 AY.87 AY.88 AY.94 AY.80 AY.42 AY.79 AY.103 AY.127 AY.43 AY.111 AY.106 AY.116 AY.126 AY.118 AY.112 AY.45 AY.110 AY.6 AY.3 AY.39 AY.46 AY.4 AY.5 AY.120 AY.82 AY.95 AY.99 AY.34.1.1 AY.112.1 AY.101 AY.99.2 AY.39.1.3 AY.4.7 AY.4.2 AY.103.2 AY.20.1 AY.33.2 AY.4.2.3 AY.4.2.2 AY.4.6 AY.4.2.4 AY.120.2.1 AY.91.1 AY.46.6.1 AY.4.14 AY.4.15 AY.103.1 AY.34.1 AY.3.4 AY.134 AY.36 AY.120.2 AY.4.4 AY.5.1 AY.121 AY.109 AY.39.1 AY.46.5 AY.4.5 AY.4.11 AY.4.9 AY.5.4 AY.5.2 AY.5.5 AY.39.1.1 AY.120.1 AY.91 AY.22 AY.25.1 AY.21 AY.100 AY.99.1 AY.34 AY.39.3 AY.44
abundances	0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363 0.01029363
resid	6.762119556987223
coverage	15.787713607330367
