	/WW02-EN-25-10-27_SC2-NR
summarized	[('XFG* (XFG.X)', 0.9983399761994989)]
lineages	XFG.8.2 XFG.3-like
abundances	0.73275499 0.26558498
resid	6.396881339539972
coverage	19.00812627495569
