	/WW01-SC2-EN-26-02-05-NR-SH01109-260223
summarized	[('XFG* (XFG.X)', 0.692363352917451), ('NB.1.8.1* (NB.1.8.1.X)', 0.13033735309664146), ('Other', 0.0897563321448415), ('BA.2.86* (BA.2.86.X)', 0.05300128216030891), ('KP.3* (KP.3.X)', 0.020120059486098556)]
lineages	XFG.2.5.1 XFG.3 PQ.49 XFG.14.1.2 XFG.23 XFG.1.1 LP.7 XFG.2.5 XDV XFG.14.1 PQ.22 XFG.3.16 XFG.14.1.4 XFG.23.1.3 XFG.17 XGE ML.1 XDV.1.5.1 XFZ XFG.23.1 XFG.3.12 XFG.3.23 XFG.17.2 QF.6 XFG.3.4.1 XFG.14.1.1 XFG.3.24 KP.1.1 XFG.3.29 XFG.1.1.1 XFG.33
abundances	0.15763202 0.10311076 0.09365230 0.06655470 0.06159839 0.05421739 0.05149766 0.04726372 0.04234826 0.03808031 0.03668506 0.03234672 0.03214890 0.02463255 0.02257268 0.02226473 0.02012006 0.01404871 0.01109463 0.01093321 0.00778309 0.00778309 0.00602089 0.00564910 0.00564910 0.00271985 0.00224215 0.00150362 0.00124609 0.00109169 0.00108696
resid	11.13065710217869
coverage	83.61702839180015
