	/WW01-SC2-PL-26-01-12-BC-SH01109-260123
summarized	[('BA.2.86* (BA.2.86.X)', 0.7261791243553105), ('XFG* (XFG.X)', 0.2700201328527003)]
lineages	LF.7.1.8 XFG.1.1 QW.1.1
abundances	0.72617912 0.26852099 0.00149914
resid	12.418952476674079
coverage	85.23225094472127
